,accuracy
114,0.04
115,0.05
116,0.023333333333333334
117,0.02
118,0.06
119,0.07333333333333333
120,0.07
121,0.05333333333333334
122,0.043333333333333335
123,0.06666666666666667
124,0.05
125,0.03666666666666667
126,0.05
127,0.03666666666666667
128,0.04
129,0.03666666666666667
130,0.03
131,0.05333333333333334
132,0.043333333333333335
133,0.04666666666666667
134,0.04
135,0.03333333333333333
136,0.013333333333333334
137,0.03
138,0.04666666666666667
139,0.05
140,0.056666666666666664
141,0.06333333333333334
142,0.05333333333333334
143,0.05
144,0.05
145,0.02666666666666667
146,0.023333333333333334
147,0.043333333333333335
148,0.03333333333333333
149,0.02666666666666667
150,0.03
151,0.043333333333333335
152,0.04
153,0.043333333333333335
154,0.06666666666666667
155,0.043333333333333335
156,0.03333333333333333
157,0.043333333333333335
158,0.04
159,0.06
160,0.04666666666666667
161,0.056666666666666664
162,0.04666666666666667
163,0.043333333333333335
164,0.03333333333333333
165,0.06
166,0.06666666666666667
167,0.03666666666666667
168,0.06
169,0.07333333333333333
170,0.05333333333333334
171,0.04666666666666667
172,0.07333333333333333
173,0.06
174,0.04
175,0.06
176,0.08333333333333333
177,0.05333333333333334
178,0.02666666666666667
179,0.06333333333333334
180,0.056666666666666664
181,0.03666666666666667
182,0.06
183,0.056666666666666664
184,0.056666666666666664
185,0.06
186,0.06
187,0.04
188,0.03666666666666667
189,0.05333333333333334
190,0.06
191,0.03666666666666667
192,0.05333333333333334
193,0.04
194,0.056666666666666664
195,0.06666666666666667
196,0.05333333333333334
197,0.07333333333333333
198,0.05
199,0.043333333333333335
200,0.06666666666666667
201,0.03666666666666667
202,0.04
203,0.06666666666666667
204,0.05333333333333334
205,0.04666666666666667
206,0.043333333333333335
207,0.06666666666666667
208,0.043333333333333335
209,0.05
210,0.07666666666666666
211,0.05
212,0.06333333333333334
213,0.04666666666666667
214,0.05333333333333334
215,0.03333333333333333
216,0.043333333333333335
217,0.02666666666666667
218,0.07333333333333333
219,0.056666666666666664
220,0.05
221,0.07333333333333333
222,0.06
223,0.05333333333333334
224,0.04666666666666667
225,0.04
226,0.08333333333333333
227,0.06333333333333334
228,0.04
229,0.05333333333333334
230,0.07
231,0.07333333333333333
232,0.06333333333333334
233,0.06333333333333334
234,0.05333333333333334
235,0.056666666666666664
236,0.03666666666666667
237,0.06
238,0.04666666666666667
239,0.05
240,0.056666666666666664
241,0.04666666666666667
242,0.08
243,0.06666666666666667
244,0.09666666666666666
245,0.06
246,0.09333333333333334
247,0.06333333333333334
248,0.056666666666666664
249,0.07666666666666666
250,0.04666666666666667
251,0.056666666666666664
252,0.07666666666666666
253,0.03666666666666667
254,0.06333333333333334
255,0.06
256,0.06666666666666667
257,0.06666666666666667
258,0.07
259,0.05333333333333334
260,0.06333333333333334
261,0.056666666666666664
262,0.04
263,0.03333333333333333
264,0.05333333333333334
265,0.06
266,0.07333333333333333
267,0.06666666666666667
268,0.07
269,0.05333333333333334
270,0.07
271,0.04666666666666667
272,0.06333333333333334
273,0.09666666666666666
274,0.07333333333333333
275,0.06666666666666667
276,0.05333333333333334
277,0.06666666666666667
278,0.03666666666666667
279,0.08
280,0.07666666666666666
281,0.1
282,0.06666666666666667
283,0.056666666666666664
284,0.06333333333333334
285,0.07333333333333333
286,0.08666666666666667
287,0.056666666666666664
288,0.06
289,0.04666666666666667
290,0.07
291,0.05
292,0.056666666666666664
293,0.06666666666666667
294,0.06666666666666667
295,0.07333333333333333
296,0.06
297,0.05333333333333334
298,0.04666666666666667
299,0.056666666666666664
300,0.06
301,0.06666666666666667
302,0.08666666666666667
303,0.09333333333333334
304,0.056666666666666664
305,0.06666666666666667
306,0.043333333333333335
307,0.06
308,0.06333333333333334
309,0.07666666666666666
310,0.056666666666666664
311,0.07
312,0.05333333333333334
313,0.05
314,0.06666666666666667
315,0.05333333333333334
316,0.043333333333333335
317,0.09
318,0.09
319,0.08333333333333333
320,0.07333333333333333
321,0.07
322,0.04666666666666667
323,0.04666666666666667
324,0.06
325,0.06333333333333334
326,0.07333333333333333
327,0.06333333333333334
328,0.043333333333333335
329,0.023333333333333334
330,0.07
331,0.05
332,0.05
333,0.06
334,0.07666666666666666
335,0.06666666666666667
336,0.08333333333333333
337,0.08
338,0.08333333333333333
339,0.05
340,0.06333333333333334
341,0.05
342,0.04666666666666667
343,0.08
344,0.08
345,0.07666666666666666
346,0.09
347,0.09
348,0.07333333333333333
349,0.09
350,0.08666666666666667
351,0.07333333333333333
352,0.09666666666666666
353,0.06666666666666667
354,0.09
355,0.06
356,0.056666666666666664
